Fecha_Accidente,DIRECCION ACCIDENTE,CONDICION_VICTIMA,GRAVEDAD_ACCIDENTE,CLASE_ACCIDENTE,SEXO_VICTIMA,EDAD_VICTIMA,CANTIDAD_VICTIMAS
2018-01-01,CL 87 9H 24,Peaton,herido,Atropello,M,57,1
2018-01-01,CLLE 119B CRA 11B,Peaton,herido,Atropello,F,13,1
2018-01-01,CR 8 CL 41,Acompañante,herido,Choque,F,32,1
2018-01-01,CR 8 CL 41,Conductor,herido,Choque,M,26,1
2018-01-01,CR 8 CL 41,Motociclista,herido,Choque,M,53,1
2018-01-02,CIRCUNVALAR CR 9G,Acompañante,herido,Choque,M,30,1
2018-01-02,CIRCUNVALAR CR 9G,Motociclista,herido,Choque,M,30,1
2018-01-02,CL 30 CR 30,Conductor,herido,Choque,M,37,1
2018-01-03,CLLE 110 CRA 52,Motociclista,herido,Atropello,M,36,1
2018-01-03,CLLE 110 CRA 52,Peaton,herido,Atropello,F,46,1
2018-01-03,AV CIRCUNVALAR CR 51B,Pasajero,herido,Choque,F,58,1
2018-01-03,CL 27B CR 20 B 44,Ciclista,herido,Choque,M,36,1
2018-01-03,CR 15 SUR 46 500,Motociclista,herido,Choque,M,22,1
2018-01-04,CR 17 CL 36B,Peaton,herido,Atropello,M,75,1
2018-01-04,CL 110 CR 10,Acompañante,herido,Choque,M,46,1
2018-01-04,CL 110 CR 10,Motociclista,herido,Choque,M,25,1
2018-01-04,CL 82 CR 59B,Pasajero,herido,Choque,M,57,1
2018-01-04,CR 14 CL 35,Conductor,herido,Choque,M,37,1
2018-01-04,CR 29 CL 37,Conductor,herido,Choque,M,27,1
2018-01-05,CRA 20B CALLE 64B,Acompañante,herido,Choque,F,46,1
2018-01-05,CRA 20B CALLE 64B,Motociclista,herido,Choque,M,17,1
2018-01-05,CRA 45 CLLE 53,Motociclista,herido,Choque,F,39,1
2018-01-05,CRA 49C CALLE 76,Acompañante,herido,Choque,F,29,1
2018-01-06,CALLE 30 CRA 46,Motociclista,herido,Atropello,M,30,1
2018-01-06,CALLE 30 CRA 46,Peaton,muerto,Atropello,M,74,1
2018-01-06,CLLE 110 CRA 6,Motociclista,herido,Atropello,M,31,1
2018-01-06,CLLE 110 CRA 6,Pasajero,herido,Atropello,M,21,1
2018-01-06,AV CORDIALIDAD CON CIRCUNVALAR,Pasajero,herido,Caida Ocupante,M,19,1
2018-01-06,CLLE 68 CRA 60,Pasajero,herido,Choque,F,31,1
2018-01-06,CRA 51B CALLE 90,Acompañante,herido,Choque,F,32,1
2018-01-07,CLLE 39 CRA 26B,Acompañante,herido,Choque,M,19,1
2018-01-07,CLLE 39 CRA 26B,Conductor,herido,Choque,M,29,1
2018-01-07,CLLE 39 CRA 26B,Conductor,herido,Choque,M,64,1
2018-01-07,CR 10 CL 62,Acompañante,herido,Choque,F,25,1
2018-01-07,CR 10 CL 62,Motociclista,herido,Choque,M,28,1
2018-01-07,CRA 58 CALLE 90,Acompañante,herido,Choque,F,12,1
2018-01-07,CRA 58 CALLE 90,Acompañante,herido,Choque,F,43,1
2018-01-07,CRA 58 CALLE 90,Acompañante,herido,Choque,M,33,1
2018-01-07,CRA 58 CALLE 90,Conductor,herido,Choque,M,22,1
2018-01-07,CRA 58 CALLE 90,Conductor,herido,Choque,M,45,1
2018-01-08,CR 38 CL 30,Peaton,herido,Atropello,M,28,1
2018-01-08,CR 13 CL 104,Acompañante,herido,Choque,M,58,1
2018-01-09,CLLE 42 CRA 41,Peaton,herido,Atropello,M,62,1
2018-01-09,CALLE 72 CRA 38B,Motociclista,herido,Choque,M,38,1
2018-01-09,CLLE 72 CRA 65,Acompañante,herido,Choque,F,43,1
2018-01-09,CLLE 72 CRA 65,Conductor,herido,Choque,M,41,1
2018-01-09,CR 37 CL 57,Motociclista,herido,Choque,M,33,1
2018-01-09,CRA 38 CLLE 80B,Motociclista,herido,Choque,F,32,1
2018-01-09,CRA 38 CLLE 80B,Motociclista,herido,Choque,M,25,1
2018-01-10,CL 34 CR 35,Motociclista,herido,Choque,M,29,1
2018-01-10,CRA 49 CALLE 67,Acompañante,herido,Choque,F,24,1
2018-01-10,CRA 49 CALLE 67,Motociclista,herido,Choque,F,23,1
2018-01-10,VIA 40 CR 79,Conductor,herido,Choque,F,55,1
2018-01-11,CR 14 CL 63,Peaton,herido,Atropello,M,10,1
2018-01-11,CRA 47 CALLE 72,Peaton,herido,Atropello,F,31,1
2018-01-11,CL 30 CR 21,Motociclista,herido,Choque,M,20,1
2018-01-11,CL 30 CR 21,Motociclista,herido,Choque,M,27,1
2018-01-11,CL 30 CR 44,Motociclista,herido,Choque,M,29,1
2018-01-11,CL 30 CR 44,Pasajero,herido,Choque,M,23,1
2018-01-11,CR 44 CL 51,Pasajero,herido,Choque,F,27,1
2018-01-11,CR 44 CL 51,Pasajero,herido,Choque,F,28,1
2018-01-11,CR 44 CL 51,Pasajero,herido,Choque,M,23,1
2018-01-11,CR 44 CL 51,Pasajero,herido,Choque,M,44,1
